Underlying,FixedRate,TradeId,Counterparty,Quantity,TradeType
90VV4,0.38,2101,"Watsica, Bergnaum and Heidenreich",114863.43,IRSwap
XZSXI,0.33,2102,Schowalter Group,816521.54,IRSwap
BKG1N,0.33,2103,Durgan - Bailey,248362.34,IRSwap
H6KYX,0.39,2104,Homenick and Sons,852047.49,IRSwap
SCW3Y,0.68,2105,Watsica and Sons,192732.76,IRSwap
Q13SO,0.54,2106,"Schimmel, Schumm and Wiza",434710.37,IRSwap
IYCRF,0.83,2107,"Frami, Schaefer and Hackett",637474.72,IRSwap
XTGYN,0.35,2108,Conn Inc,543825.07,IRSwap
KBFR5,0.46,2109,Williamson LLC,274747.30,IRSwap
OHV5U,0.96,2110,Flatley Group,267447.17,IRSwap
ORWS7,0.63,2111,"Dickens, Gleason and Stokes",790298.36,IRSwap
5127J,0.59,2112,"Bartell, Dickens and Runolfsdottir",284702.82,IRSwap
AXUFY,0.32,2113,Wilkinson - Parisian,762666.74,IRSwap
OSHVJ,0.53,2114,Prosacco LLC,899824.10,IRSwap
NIECU,0.07,2115,"Watsica, Sipes and Gutkowski",211193.11,IRSwap
B60ET,0.04,2116,Kautzer - Davis,572204.73,IRSwap
BLVLC,0.55,2117,Gerhold - Hackett,727710.26,IRSwap
O4DJM,0.44,2118,O'Hara Inc,643380.14,IRSwap
HAEBD,0.61,2119,Bernier - Boyle,254230.12,IRSwap
KOIKV,0.05,2120,Kunde - Rice,490204.10,IRSwap
VZFJW,0.19,2121,Schultz - Zieme,300966.16,IRSwap
B5181,0.21,2122,"Kreiger, Rosenbaum and Hodkiewicz",586494.80,IRSwap
PXI20,0.60,2123,Durgan - Rohan,92756.50,IRSwap
2SDIU,0.87,2124,"Orn, McClure and Schmidt",635964.40,IRSwap
QCW9I,0.47,2125,Dickinson - Schneider,980659.31,IRSwap
L8762,0.91,2126,Smith - Stamm,104778.39,IRSwap
T6KY8,0.36,2127,Tillman - McKenzie,997203.91,IRSwap
0Y4YK,0.61,2128,"Reichel, Dickinson and Hayes",97638.11,IRSwap
QP1TL,0.19,2129,"Kuhn, Christiansen and Konopelski",831777.80,IRSwap
LT6KS,0.95,2130,Welch - Jakubowski,555516.00,IRSwap
